N,P,K,temperature,humidity,ph,rainfall,label
53.01,31.69,47.07,17.03,63.8,6.36,479.08,wheat
100.93,65.45,53.24,25.67,69.05,6.75,1138.68,papaya
27.96,34.05,23.85,28.64,69.21,6.49,378.93,blackgram
79.51,48.09,39.93,24.71,70.16,6.48,1062.67,apple
140.86,53.63,58.16,26.28,61.18,6.43,717.35,cotton
94.32,50.26,45.23,21.16,69.91,6.03,1515.12,apple
73.07,46.23,31.61,18.27,65.56,6.21,1263.83,coffee
105.74,57.14,68.94,31.4,82.99,6.51,1129.7,papaya
75.64,44.19,39.61,25.15,74.61,6.33,584.01,grapes
84.32,52.05,50.12,28.63,78.33,6.58,895.08,orange
86.17,40.75,61.72,27.31,66.5,6.79,514.11,watermelon
13.35,23.01,17.41,31.77,57.06,7.52,307.83,mothbeans
60.62,45.28,31.82,15.94,64.54,6.74,591.88,wheat
21.19,18.99,23.71,29.37,50.79,7.28,306.52,mothbeans
31.27,19.36,34.47,33.36,68.65,6.37,366.15,mungbean
24.4,18.83,21.3,27.98,67.78,6.43,271.34,blackgram
29.41,30.52,26.22,27.15,78.42,7.38,417.85,pigeonpeas
17.95,18.96,30.16,28.09,73.66,6.68,417.77,blackgram
34.54,21.34,35.29,27.38,72.4,6.69,350.65,chickpea
20.29,13.91,27.88,26.88,69.02,6.77,298.87,mothbeans
89.26,39.61,61.26,32.15,74.03,6.46,1848.09,coconut
102.52,64.53,80.03,28.6,50.66,6.79,556.23,muskmelon
27.39,30.81,28.53,15.97,56.56,6.11,299.25,lentil
134.35,55.84,75.99,25.44,78.76,6.33,1125.12,papaya
93.8,41.47,43.7,16.25,76.11,6.1,643.11,grapes
112.44,45.3,33.08,25.88,87.22,6.59,1856.95,rice
91.46,52.99,51.46,18.67,40.6,6.7,631.05,pomegranate
114.21,72.28,92.18,31.52,81.03,6.38,1961.55,banana
114.57,48.32,100.38,28.37,73.12,6.82,1505.54,coconut
85.32,41.69,47.14,20.68,79.18,6.03,1254.32,coffee
124.75,57.85,72.12,28.46,81.52,6.11,1925.54,banana
66.9,39.05,47.86,23.22,57.45,6.38,515.35,wheat
124.1,52.69,62.08,23.04,75.66,6.46,1098.0,papaya
121.17,67.12,48.65,26.5,68.65,7.11,1068.12,cotton
23.78,20.31,24.99,26.71,66.27,6.23,442.08,blackgram
74.28,53.85,55.45,23.19,63.92,6.24,576.36,grapes
110.65,57.36,57.42,26.05,56.31,6.5,498.11,watermelon
35.71,28.71,18.55,26.71,79.76,7.2,321.03,chickpea
79.72,41.9,36.48,24.37,83.02,6.25,1977.51,rice
26.83,22.11,20.25,21.85,71.07,7.13,399.9,chickpea
84.78,46.07,32.33,23.34,75.61,6.79,874.49,maize
94.6,48.09,47.37,31.8,61.5,7.32,967.06,mango
21.85,37.52,19.01,21.54,68.97,7.33,510.6,lentil
98.38,62.13,65.46,28.61,58.47,6.07,496.6,muskmelon
86.48,41.9,53.43,27.59,77.6,6.25,900.42,mango
111.1,40.09,39.69,26.99,63.12,6.65,1158.17,mango
131.71,77.1,67.01,31.92,73.32,6.37,1131.57,papaya
55.31,36.32,22.36,24.84,81.22,7.29,1758.69,jute
51.85,28.89,27.41,31.22,77.12,6.17,1616.18,jute
54.4,44.26,48.16,16.68,56.26,7.45,504.81,wheat
31.6,15.44,17.88,31.22,51.89,6.58,201.85,mothbeans
81.8,53.12,23.09,24.14,79.76,6.46,976.97,maize
83.43,57.34,47.41,17.91,57.1,6.66,719.24,orange
100.55,48.46,40.94,26.52,59.27,6.99,766.46,pomegranate
28.86,29.77,15.27,25.89,80.29,6.5,382.77,mungbean
102.19,52.39,52.93,29.03,67.11,6.58,537.02,muskmelon
54.54,22.59,29.08,34.84,81.38,7.08,1087.47,jute
68.8,40.36,31.84,16.47,53.97,6.28,626.3,wheat
143.89,71.42,55.63,27.88,81.3,7.46,997.87,sugarcane
115.41,44.29,52.34,20.95,51.29,6.48,753.94,orange
111.17,42.64,55.72,21.44,43.76,7.38,630.68,pomegranate
146.47,75.7,68.2,26.82,76.32,6.72,1314.52,sugarcane
114.21,43.59,50.51,26.98,70.46,6.37,973.93,mango
106.72,42.59,48.9,28.79,64.55,6.38,1071.37,mango
49.47,22.2,32.6,24.39,77.78,6.21,1853.69,jute
85.45,41.69,74.98,29.99,65.52,6.13,544.66,watermelon
126.51,53.77,40.37,29.34,78.09,7.54,1162.42,cotton
49.97,31.38,30.24,25.78,87.96,7.03,1839.13,jute
45.16,26.24,36.8,19.8,66.21,6.1,405.05,kidneybeans
109.87,46.67,57.0,31.06,63.47,5.74,1186.13,mango
35.43,24.83,15.76,24.77,66.73,6.9,460.47,pigeonpeas
136.45,67.3,74.9,31.92,63.7,6.69,1039.53,papaya
43.8,35.88,25.65,17.31,79.3,6.76,581.71,kidneybeans
89.24,33.15,48.51,18.8,74.27,6.04,1115.91,apple
96.24,43.41,51.94,30.25,61.33,6.4,567.12,watermelon
84.47,53.85,43.12,30.54,64.8,6.34,914.26,mango
91.07,32.72,31.05,21.98,69.15,6.86,1491.65,coffee
42.19,27.48,22.52,20.66,76.0,6.1,379.93,pigeonpeas
59.79,32.21,48.21,16.57,69.3,6.69,482.21,wheat
27.49,18.0,25.55,32.56,64.09,7.31,321.63,mothbeans
92.99,45.41,58.09,26.54,52.9,6.63,587.57,pomegranate
143.08,61.85,76.5,28.66,81.84,7.07,1224.44,sugarcane
122.88,46.89,80.07,27.31,79.82,6.5,1693.85,coconut
63.44,39.44,42.21,23.2,75.27,6.3,1970.18,coffee
77.9,52.8,47.16,22.42,69.87,6.12,787.41,grapes
101.53,38.77,25.45,19.62,65.72,6.74,800.22,maize
124.6,64.49,70.73,23.34,81.37,7.02,1072.68,sugarcane
85.1,46.4,43.33,25.23,81.69,5.77,1663.22,rice
20.1,18.89,22.82,32.21,72.79,6.21,418.1,blackgram
30.96,33.59,27.14,23.93,71.56,7.53,296.59,chickpea
80.79,45.4,33.19,23.65,59.76,7.33,591.44,wheat
103.94,49.8,49.92,28.36,71.48,6.93,812.91,mango
120.41,60.57,62.41,29.52,78.84,6.19,1699.43,banana
38.27,27.74,22.98,33.87,78.86,6.17,332.36,blackgram
29.11,11.6,19.34,33.51,58.97,6.72,299.31,mothbeans
19.87,34.59,20.8,28.83,62.09,6.09,416.39,blackgram
113.46,39.86,82.42,30.49,77.37,5.64,1966.84,coconut
91.19,46.63,58.96,19.77,72.27,6.49,774.9,grapes
88.34,40.31,48.26,17.02,59.32,7.15,507.33,pomegranate
102.49,38.1,29.32,17.86,64.14,6.65,987.51,maize
91.38,50.84,52.7,15.38,35.43,7.02,504.03,pomegranate
33.92,21.16,29.9,26.78,78.8,6.38,401.82,pigeonpeas
84.89,50.54,58.12,20.49,63.68,6.72,738.4,grapes
98.05,60.06,49.31,16.0,58.33,6.67,719.08,orange
80.36,57.76,45.44,31.05,74.44,7.03,894.49,mango
77.2,48.49,47.01,15.02,61.73,6.47,718.77,grapes
22.65,27.55,26.8,34.47,65.45,7.5,350.27,mothbeans
21.42,34.22,23.27,31.03,73.64,6.53,314.07,blackgram
21.67,17.02,31.07,29.2,77.41,6.93,252.01,mungbean
138.04,42.24,53.98,25.53,61.03,7.2,995.34,cotton
101.18,57.22,53.22,22.19,60.55,6.79,794.88,cotton
96.1,55.64,45.87,18.92,61.46,6.92,803.27,pomegranate
44.35,44.74,23.86,21.96,64.45,6.41,551.98,kidneybeans
118.17,50.21,66.66,24.58,54.27,6.41,436.57,muskmelon
102.98,46.56,59.42,28.43,57.03,6.11,1084.48,orange
106.13,41.28,84.67,30.14,73.23,6.79,1035.45,coconut
131.18,66.89,87.39,31.59,81.82,6.56,1751.72,banana
112.09,40.38,42.8,24.26,73.37,7.04,881.44,cotton
76.97,35.51,39.61,19.62,69.05,6.02,730.59,grapes
130.12,40.59,50.72,29.97,75.86,6.96,641.27,cotton
40.84,24.74,29.59,29.41,71.89,6.04,455.52,blackgram
92.38,46.81,42.15,24.4,88.67,6.24,1495.82,rice
110.05,74.37,67.37,29.64,77.56,6.19,1033.42,papaya
76.99,44.09,32.99,22.85,50.84,6.02,502.4,wheat
73.91,39.24,32.91,24.95,72.54,6.43,583.23,maize
108.6,41.48,41.97,15.17,55.92,7.41,699.69,pomegranate
30.1,18.01,22.36,27.7,65.85,6.3,397.14,mungbean
98.5,51.97,55.87,20.74,65.53,6.97,816.21,orange
96.84,39.29,22.69,18.62,73.2,6.75,711.85,maize
107.15,54.72,62.6,31.7,78.64,6.41,989.84,papaya
72.39,35.89,42.46,19.48,63.57,7.39,577.99,wheat
134.43,59.41,53.14,28.87,56.1,5.95,766.89,cotton
88.12,35.44,44.84,22.78,65.79,6.45,1343.75,coffee
34.65,27.57,32.17,19.78,65.08,6.12,394.18,lentil
104.59,47.13,43.24,25.3,65.23,7.19,512.43,pomegranate
58.97,25.39,27.05,27.32,70.04,6.4,1010.79,jute
57.94,29.63,34.41,21.02,51.3,6.71,531.62,wheat
56.9,48.91,43.4,19.57,58.98,7.4,472.08,wheat
43.34,28.95,21.1,28.08,85.92,7.37,1150.63,jute
98.88,44.2,32.64,19.45,74.8,6.86,672.54,maize
116.12,49.44,74.27,29.58,70.82,6.21,1358.4,coconut
39.02,37.05,32.71,22.1,73.29,6.17,487.85,kidneybeans
20.96,32.95,23.05,20.13,67.98,6.26,448.81,pigeonpeas
122.81,62.34,50.0,26.62,51.97,6.34,803.38,cotton
81.17,49.43,51.1,22.91,62.13,6.34,622.27,grapes
25.35,21.82,19.17,20.04,65.27,6.25,417.9,lentil
36.82,18.44,30.79,29.34,67.0,6.17,306.18,blackgram
23.58,19.86,31.5,27.16,77.9,6.06,456.3,pigeonpeas
111.9,52.5,76.9,28.68,82.39,6.05,1880.67,coconut
105.55,70.04,56.92,29.34,79.4,6.67,1032.74,papaya
69.47,38.55,44.27,19.89,66.78,7.34,536.75,wheat
53.79,34.4,18.89,30.9,74.9,7.36,1906.33,jute
98.15,51.65,54.62,17.57,74.21,7.04,938.42,orange
59.8,25.29,16.77,26.23,72.18,7.43,1770.34,jute
99.01,53.68,41.28,24.36,60.66,6.81,736.5,pomegranate
112.75,54.76,45.9,23.23,39.67,6.93,777.03,pomegranate
74.94,39.94,48.74,17.18,59.73,6.79,1662.11,coffee
86.65,46.31,39.09,23.32,87.31,5.78,1745.76,rice
85.16,41.76,50.7,16.81,40.94,6.79,578.58,pomegranate
146.46,56.23,50.34,27.75,79.38,7.22,1408.33,sugarcane
65.0,47.8,44.27,20.4,70.57,6.93,629.93,grapes
111.35,44.03,35.98,25.0,84.03,5.66,1732.27,rice
31.66,14.65,21.19,27.89,65.48,6.68,305.23,blackgram
21.02,18.21,35.11,29.53,61.85,7.13,349.33,mungbean
46.92,28.01,31.22,32.93,77.97,6.71,1288.37,jute
82.71,36.11,21.86,25.89,63.5,6.16,748.06,maize
64.02,32.79,41.97,18.01,73.48,6.51,1100.83,apple
37.72,31.28,24.89,24.92,73.76,6.88,1287.12,jute
85.2,36.89,20.86,18.99,79.54,6.44,966.26,maize
133.32,63.15,78.5,26.4,63.43,6.43,1177.87,papaya
109.17,56.19,43.04,19.14,66.53,7.23,672.25,pomegranate
88.99,58.89,55.03,31.16,55.45,6.02,419.54,muskmelon
92.15,47.99,52.59,24.41,51.45,6.92,778.55,pomegranate
20.83,21.23,18.59,30.96,65.09,6.46,348.65,mungbean
118.66,55.97,75.85,25.73,84.07,6.53,1054.59,papaya
71.23,54.71,42.8,24.69,77.35,6.72,757.48,grapes
31.19,27.83,16.36,34.58,62.71,6.45,392.28,mungbean
100.68,41.33,56.34,15.38,63.81,6.62,742.9,pomegranate
93.38,46.81,34.44,25.51,66.19,6.8,761.65,maize
82.47,42.73,41.19,16.52,66.07,6.75,1889.06,coffee
33.09,18.26,28.36,27.43,60.8,7.04,458.11,pigeonpeas
58.66,29.85,26.92,15.75,71.12,6.75,510.71,kidneybeans
24.96,27.22,27.81,22.15,76.64,6.46,345.96,pigeonpeas
120.85,50.1,58.4,21.96,62.94,5.92,1062.05,cotton
74.63,45.99,45.42,16.95,68.52,6.23,644.98,grapes
98.92,43.5,53.36,17.03,39.42,7.21,577.38,pomegranate
75.42,30.86,36.13,24.38,79.33,6.32,1214.32,coffee
77.01,41.45,47.82,21.01,67.05,6.84,1635.64,coffee
157.5,64.33,61.95,22.42,82.64,7.09,1234.17,sugarcane
77.79,31.77,24.38,24.86,80.65,6.58,1578.39,jute
36.0,33.31,19.66,28.66,70.35,7.01,519.96,chickpea
29.76,12.69,23.19,29.22,51.05,7.09,281.39,mothbeans
83.22,41.97,34.47,21.35,70.89,6.14,1211.82,coffee
116.56,44.32,41.48,24.57,47.13,7.17,523.09,pomegranate
105.75,56.51,46.93,27.25,68.51,6.24,1171.96,mango
95.45,49.22,41.46,19.25,61.53,6.67,833.54,maize
107.16,60.1,98.27,27.8,81.95,7.13,1566.6,banana
123.98,48.95,56.36,26.42,68.2,6.53,464.53,muskmelon
24.04,29.79,19.88,30.22,60.66,6.94,370.48,blackgram
124.16,60.66,80.92,29.38,79.64,7.06,1552.77,banana
110.49,51.56,43.6,22.87,82.99,6.79,1629.76,rice
57.15,23.28,20.63,22.84,75.17,6.77,549.25,kidneybeans
77.33,51.49,41.37,20.03,86.55,5.85,1853.66,rice
97.54,54.53,51.15,32.43,54.46,6.2,454.74,watermelon
57.42,39.8,35.84,25.15,68.95,6.08,609.45,wheat
54.87,33.59,20.15,26.27,73.9,6.51,1431.87,jute
106.75,71.38,54.28,24.51,72.14,6.9,853.85,papaya
111.31,59.26,68.16,26.47,75.89,7.3,1755.42,banana
99.74,53.84,35.96,21.11,80.59,5.73,1616.54,rice
109.46,50.0,53.63,33.49,56.34,6.69,539.02,watermelon
26.64,22.09,20.66,27.2,65.0,6.12,352.26,blackgram
36.66,35.15,16.77,29.54,59.71,6.88,367.69,blackgram
113.31,46.02,39.45,22.54,38.26,7.27,619.74,pomegranate
131.79,74.77,97.79,28.76,84.67,7.26,1441.56,banana
122.43,69.52,60.5,28.98,83.66,6.51,1471.35,sugarcane
28.91,26.31,30.75,28.77,62.23,6.56,445.92,pigeonpeas
48.05,37.2,39.15,16.32,71.22,6.77,505.98,kidneybeans
21.1,15.41,34.77,31.16,67.52,6.63,330.3,mungbean
91.94,49.35,57.14,24.34,38.38,7.1,555.87,pomegranate
24.65,34.79,26.46,26.5,70.43,7.8,322.75,chickpea
129.71,65.09,53.22,22.3,72.28,7.47,1010.92,cotton
114.52,55.03,83.56,30.34,82.2,6.17,1467.04,coconut
84.15,58.56,43.6,25.59,37.3,6.64,658.11,pomegranate
90.93,46.67,34.28,24.48,72.61,6.43,1289.34,apple
78.31,32.39,35.46,20.09,62.22,6.63,1282.09,apple
48.56,41.16,24.82,18.54,77.49,6.28,531.94,kidneybeans
101.77,50.8,55.97,21.56,77.53,6.15,556.39,grapes
38.24,28.43,16.92,26.6,79.68,5.99,419.56,blackgram
105.19,75.45,70.93,31.98,75.93,7.43,1236.17,banana
65.26,46.35,41.62,16.59,74.1,6.51,1707.75,coffee
114.89,41.88,44.61,21.77,73.67,7.92,652.79,cotton
20.74,24.55,31.55,28.71,79.69,7.34,434.7,pigeonpeas
87.32,42.74,59.04,25.54,63.77,6.52,426.37,watermelon
85.95,60.55,40.79,21.52,86.54,6.41,1673.0,rice
85.77,42.01,42.2,26.3,85.41,6.03,1654.85,rice
16.53,15.89,21.64,28.28,66.45,7.95,227.25,mothbeans
54.48,23.06,21.39,33.06,78.42,7.14,1178.64,jute
101.51,52.14,70.54,28.58,76.86,5.58,1137.51,coconut
112.44,44.87,36.18,25.21,87.27,7.0,1685.34,rice
68.9,32.29,48.9,23.68,78.44,7.0,1373.09,coffee
121.96,46.12,48.81,26.4,51.67,7.71,1084.47,cotton
88.89,41.29,89.27,25.78,74.57,6.32,1560.99,coconut
30.91,32.55,31.21,33.61,60.33,7.18,296.89,mungbean
68.08,34.3,33.64,18.64,61.17,6.42,1620.1,coffee
88.97,58.51,43.08,26.79,89.22,6.39,1981.31,rice
89.02,54.77,63.96,24.2,61.14,6.66,498.31,watermelon
138.24,74.02,72.07,22.88,80.11,6.44,984.03,papaya
78.84,41.48,35.77,19.48,69.69,6.71,1506.96,apple
126.68,66.02,55.61,22.0,77.12,5.95,933.57,cotton
88.05,45.3,43.25,20.0,80.71,5.6,1490.71,rice
24.26,23.08,20.5,25.71,75.18,7.2,414.34,pigeonpeas
71.55,39.82,34.8,23.84,58.45,6.79,638.08,wheat
135.25,51.83,45.16,23.4,56.45,5.95,817.82,cotton
77.65,42.37,38.22,16.9,70.51,6.56,1443.58,apple
78.26,54.0,22.63,25.24,67.27,6.85,942.98,maize
85.84,39.85,22.36,23.73,72.11,6.55,834.69,maize
108.72,42.53,77.83,29.39,63.11,6.23,545.19,muskmelon
27.03,31.66,35.47,16.39,54.42,6.69,486.73,lentil
33.17,25.46,17.12,28.6,68.64,7.29,385.6,mothbeans
94.65,58.34,83.69,31.02,81.22,5.69,1755.9,coconut
94.68,39.41,42.52,21.23,75.41,6.95,1025.83,apple
107.65,60.09,41.47,28.7,39.5,6.91,757.46,pomegranate
127.48,79.16,70.2,31.11,84.26,7.04,1960.3,banana
27.07,30.43,23.8,22.1,62.52,6.55,367.0,pigeonpeas
138.59,51.85,42.27,21.43,61.98,6.2,617.23,cotton
57.32,20.49,16.18,29.82,78.33,7.26,1141.01,jute
78.21,48.05,23.28,22.75,62.14,6.34,861.91,maize
83.72,48.86,32.54,19.98,61.37,6.64,1642.99,coffee
34.09,31.08,23.97,20.49,55.34,7.41,421.13,lentil
15.85,20.45,18.42,32.93,57.36,7.98,239.81,mothbeans
112.77,59.52,48.74,25.7,67.13,6.13,856.59,mango
78.07,28.95,25.55,26.8,79.46,6.99,1718.91,jute
26.46,11.99,24.43,34.63,65.95,7.3,249.47,mothbeans
85.89,47.97,45.68,20.8,75.35,6.34,1738.18,coffee
89.37,54.85,56.66,26.87,77.58,5.73,1119.04,mango
29.69,34.85,21.05,24.95,78.67,7.73,474.77,chickpea
93.41,57.2,57.29,28.7,67.28,6.11,805.85,mango
90.29,31.04,37.41,19.92,71.29,6.72,1162.51,apple
23.31,25.2,21.91,31.07,65.75,7.67,275.99,mothbeans
110.53,56.4,36.51,23.66,81.19,6.31,1699.8,rice
25.15,26.13,27.89,19.76,66.24,6.18,491.7,lentil
84.05,57.76,40.14,24.46,87.93,6.26,1559.83,rice
77.16,45.95,46.26,21.9,62.57,6.79,1766.85,coffee
134.61,60.77,84.72,27.3,75.98,6.29,1337.17,banana
19.21,25.1,16.23,21.64,70.83,7.28,425.86,pigeonpeas
73.1,43.69,37.2,21.67,70.35,6.49,682.06,maize
131.86,69.7,73.85,26.03,82.41,6.31,1853.47,banana
122.15,59.69,59.77,21.17,63.27,7.29,1060.5,cotton
108.65,66.08,76.6,27.71,75.82,7.2,1979.07,banana
132.11,52.51,96.67,31.41,75.45,6.48,1472.55,banana
85.06,42.15,47.6,21.61,78.48,6.52,696.0,grapes
30.34,22.18,29.95,27.66,63.09,6.08,478.93,pigeonpeas
133.01,53.33,61.55,24.31,85.22,6.38,1115.07,papaya
108.25,53.24,57.28,31.82,61.55,6.83,429.67,watermelon
30.48,19.65,15.65,30.21,72.12,7.15,275.27,mungbean
54.19,47.13,33.37,19.11,66.28,6.24,547.67,wheat
87.53,51.37,42.94,21.18,84.99,5.62,1541.47,rice
55.5,44.95,43.53,15.19,54.45,6.32,603.09,wheat
96.37,51.27,27.57,22.38,68.89,6.61,686.79,maize
94.06,59.25,41.0,30.13,70.89,6.49,849.92,mango
119.65,47.59,43.77,26.02,80.92,5.61,1528.45,rice
61.59,28.01,31.74,33.0,79.46,6.47,1382.37,jute
84.09,51.85,44.63,23.24,86.56,6.51,1707.76,rice
99.61,71.1,80.62,28.46,83.06,7.28,1211.22,banana
36.53,26.5,35.43,19.44,53.49,6.69,433.94,lentil
38.05,31.79,24.71,25.17,76.97,7.1,359.02,pigeonpeas
53.53,31.12,23.95,23.19,73.91,6.66,501.84,kidneybeans
109.77,42.28,42.93,31.85,79.49,5.59,999.31,mango
71.55,40.05,30.17,18.31,60.17,6.18,537.69,wheat
71.35,32.06,42.38,17.48,57.87,6.43,547.92,wheat
113.36,75.63,76.48,25.64,62.09,6.73,948.91,papaya
114.32,54.27,85.51,25.78,79.74,6.97,1921.59,coconut
62.7,30.67,35.4,20.37,62.34,6.39,485.73,wheat
108.56,44.38,34.49,20.3,82.89,6.38,1702.22,rice
133.15,60.59,87.89,26.69,82.72,6.77,1418.74,banana
33.25,26.12,14.71,27.55,64.11,7.06,290.12,mothbeans
99.44,48.05,96.99,30.92,74.67,6.43,1910.31,coconut
56.83,22.07,34.94,26.72,71.76,6.89,1731.02,jute
67.7,39.14,44.08,23.51,71.95,6.69,1047.35,apple
36.75,18.71,17.87,28.64,66.27,7.18,378.32,mungbean
90.55,45.7,50.06,29.19,78.53,6.29,819.79,orange
35.25,28.79,18.02,20.2,74.11,6.41,432.4,pigeonpeas
69.31,31.82,48.23,24.02,51.19,7.26,484.23,wheat
84.93,38.79,27.73,21.79,76.26,6.7,936.5,maize
76.13,48.43,54.97,17.42,78.08,6.67,628.41,grapes
121.47,64.03,72.01,26.42,81.2,6.17,1500.02,sugarcane
98.32,53.99,58.27,25.28,42.02,7.45,591.78,pomegranate
120.94,52.68,68.69,24.11,80.0,6.83,1218.77,papaya
63.24,46.52,45.16,16.48,70.6,6.55,561.62,grapes
111.43,56.34,44.89,19.79,67.58,6.65,526.53,pomegranate
113.06,56.83,35.31,21.11,86.44,6.88,1780.88,rice
104.17,54.12,45.48,22.33,36.06,7.34,799.31,pomegranate
101.23,67.13,76.66,22.02,61.66,6.55,1116.48,papaya
88.36,53.22,62.31,27.49,76.94,5.73,1972.52,coconut
34.72,35.34,21.07,15.6,50.33,6.64,403.78,lentil
35.82,32.12,25.69,28.27,64.44,6.31,402.5,blackgram
62.13,49.73,47.56,24.97,52.52,7.1,676.54,wheat
122.47,66.39,55.27,29.98,76.18,6.64,1365.29,sugarcane
121.34,43.85,42.44,22.59,89.55,6.76,1988.05,rice
65.88,37.46,19.86,28.63,83.1,6.62,1410.81,jute
22.6,31.93,30.79,27.51,66.85,6.49,425.35,blackgram
34.39,27.94,23.95,24.87,54.29,6.64,349.89,lentil
97.32,66.43,78.38,24.93,54.44,6.94,572.58,watermelon
119.46,55.57,44.48,23.73,71.58,7.42,1154.59,orange
89.02,36.95,57.03,22.67,72.43,6.8,594.62,grapes
46.16,41.4,23.59,17.4,65.42,6.49,448.1,kidneybeans
29.08,21.28,29.07,20.6,62.05,6.1,490.58,pigeonpeas
28.49,22.43,27.88,24.96,66.4,6.85,468.35,pigeonpeas
120.27,59.38,71.8,28.91,84.2,5.51,1777.18,coconut
102.8,51.33,41.35,21.21,68.73,7.05,996.88,orange
125.67,70.32,56.97,21.6,76.87,7.54,1071.33,cotton
99.35,37.38,38.54,24.97,73.64,5.85,699.16,maize
22.14,16.89,30.66,31.11,53.02,6.82,253.3,mothbeans
100.84,51.78,23.79,22.7,76.63,6.66,767.94,maize
81.81,50.4,42.11,17.74,74.58,6.14,646.75,grapes
94.7,42.29,42.1,20.76,66.42,6.71,586.39,pomegranate
61.14,46.67,28.68,18.26,58.32,6.81,602.94,wheat
160.35,59.15,52.94,25.86,81.35,6.95,1152.93,sugarcane
78.05,34.66,44.92,19.94,66.53,6.59,1982.77,coffee
68.43,42.76,29.3,17.9,65.28,6.71,676.86,maize
20.48,14.75,20.11,32.77,70.02,7.18,265.79,mothbeans
114.97,77.62,88.29,26.19,83.94,6.75,1559.51,banana
31.73,35.79,26.42,23.77,73.81,7.65,376.4,chickpea
102.6,52.53,38.69,26.91,85.45,5.89,1535.07,rice
58.43,43.19,33.27,20.04,65.77,6.93,497.62,kidneybeans
97.19,51.37,40.02,21.74,86.32,5.96,1533.79,rice
26.22,21.5,29.11,34.41,57.18,7.08,247.18,mothbeans
35.46,32.25,22.9,26.03,64.89,6.93,376.48,pigeonpeas
151.02,73.45,64.96,21.78,78.98,7.36,1253.06,sugarcane
111.99,41.75,41.42,27.41,62.57,6.73,827.91,mango
101.17,51.88,67.54,26.87,70.09,5.99,1571.16,coconut
19.71,25.03,28.01,23.39,55.42,6.5,425.12,lentil
28.02,29.95,18.18,28.35,78.22,6.94,362.82,chickpea
95.46,58.26,43.19,24.05,81.64,5.71,1483.72,rice
34.19,33.49,18.93,33.49,74.11,7.05,343.97,mungbean
110.04,54.96,75.41,24.19,56.96,6.24,499.48,muskmelon
87.84,67.28,76.86,26.12,63.57,6.11,536.72,muskmelon
35.61,39.72,24.64,23.75,70.02,7.27,391.27,lentil
115.41,58.56,36.54,26.61,84.66,5.92,1767.54,rice
96.08,52.98,53.08,26.55,77.55,6.51,994.09,mango
24.35,37.12,33.48,22.35,66.41,6.32,360.71,lentil
87.47,48.5,38.83,16.48,70.34,6.37,1474.98,coffee
22.97,33.84,27.1,33.75,71.33,6.44,518.35,blackgram
14.65,26.98,26.35,31.61,58.78,7.8,313.24,mothbeans
84.95,44.6,30.74,17.01,64.43,6.71,1111.24,apple
106.89,54.69,57.71,25.95,59.61,6.58,1083.46,mango
87.45,52.4,95.54,28.89,80.99,6.13,1099.17,coconut
21.01,11.7,17.99,27.23,66.65,6.8,247.14,mothbeans
28.73,19.63,29.34,33.29,69.19,6.88,321.29,mothbeans
50.35,33.52,18.89,26.46,86.71,6.38,1287.32,jute
136.3,62.26,70.7,26.31,71.62,6.33,1074.37,papaya
135.33,49.39,64.77,26.74,75.34,6.43,1162.98,sugarcane
119.46,51.92,51.14,26.74,49.64,6.85,1188.35,cotton
21.88,30.16,27.88,28.51,58.63,7.93,290.53,mothbeans
23.82,34.1,22.49,31.18,72.32,6.54,523.69,blackgram
57.53,34.42,34.62,23.03,62.72,6.81,492.3,wheat
105.04,60.65,49.05,27.26,52.1,7.0,769.43,pomegranate
48.69,29.15,35.92,19.33,75.11,6.52,440.76,kidneybeans
97.32,45.97,48.59,17.03,65.9,6.26,1488.39,coffee
27.07,21.97,29.82,31.5,63.59,6.36,420.6,blackgram
120.85,55.21,50.61,31.05,66.66,6.82,1199.43,papaya
80.53,65.64,55.74,30.55,57.65,6.6,454.13,watermelon
87.75,54.11,35.38,25.9,87.13,5.61,1555.54,rice
79.68,47.77,46.48,19.51,72.75,6.41,540.37,grapes
119.21,77.02,77.1,23.09,83.48,6.82,1154.86,papaya
40.5,35.1,24.6,28.14,63.17,6.03,402.0,blackgram
119.73,40.33,66.22,30.58,68.67,6.11,505.03,watermelon
78.54,50.67,24.16,25.24,68.14,6.59,652.34,maize
78.13,34.6,43.61,24.26,50.63,7.06,532.08,wheat
72.82,43.55,50.26,19.6,77.37,6.58,1117.04,apple
98.8,48.02,53.13,23.89,52.09,6.59,757.19,cotton
24.49,33.0,17.57,30.51,76.96,6.69,388.13,mungbean
84.17,47.77,56.13,28.79,68.62,6.11,546.49,muskmelon
51.64,43.68,33.28,24.28,65.3,6.59,523.31,kidneybeans
14.85,19.24,24.54,27.75,61.92,6.89,311.41,mothbeans
95.45,57.46,65.84,24.69,62.38,6.83,405.1,watermelon
84.9,46.2,51.81,30.35,62.25,6.5,545.57,watermelon
33.17,18.83,15.65,21.44,79.9,6.76,506.96,pigeonpeas
23.28,30.25,18.78,22.79,60.53,6.62,370.77,lentil
93.67,46.14,41.3,20.82,88.12,5.62,1963.56,rice
142.89,58.7,59.43,29.12,81.31,7.18,1185.13,sugarcane
93.99,52.64,67.92,30.05,78.29,5.81,1265.14,coconut
109.17,46.72,33.04,18.11,70.92,5.99,876.27,maize
120.47,66.11,66.64,23.38,64.66,6.3,1030.1,papaya
119.14,52.37,51.63,18.37,37.09,7.46,622.35,pomegranate
